				manner2	manner2	manner2	manner2	manner2	manner2	manner2	manner1	manner1			manner1	place1	place2	place2		place1	place2	place2	place2	place2	place1	place2	place2	place2	place1	place2	place2	place2	phonation	phonation	phonation	phonation	phonation	phonation	height	height	backness	backness			
IPA	X-SAMPA	consonantal	syllabic	nasal	stop	fricative	approximant	trill	flap	affricate	continuant	sonorant	lateral	rhotic	liquid	labial	bilabial	labiodental	lingual	coronal	dental	alveolar	post-alveolar	retroflex	dorsal	palatal	velar	uvular	laryngeal	pharyngeal	epiglottal	glottal	egressive	voice	nasalization	aspiration	ejective	click	high	low	front	back	round	tense	long
ɢ͡ʁ	G\)R	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɣ	G	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
h	h	+	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	+	+	-	-	-	-	-	0	0	0	0	0	0	-
ħ	X\	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
ɦ	h\	+	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	+	+	+	-	-	-	-	0	0	0	0	0	0	-
ɧ	x\	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	+	+	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
j	j	-	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ʝ	j\	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɟ	J\	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɟ͡ʝ	J\)j\	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
k	k	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
k͡p	k)p	+	-	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
k͡x	k)x	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
l	l	+	-	-	-	-	+	-	-	-	+	+	+	-	+	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ʟ	L\	+	-	-	-	-	+	-	-	-	+	+	+	-	+	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɫ	5	+	-	-	-	-	+	-	-	-	+	+	+	-	+	-	-	-	+	+	-	+	-	-	+	-	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɬ	K	+	-	-	-	+	-	-	-	-	+	-	+	-	+	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɭ	l`	+	-	-	-	-	+	-	-	-	+	+	+	-	+	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɮ	K\	+	-	-	-	+	-	-	-	-	+	-	+	-	+	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ʎ	L	+	-	-	-	-	+	-	-	-	+	+	+	-	+	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
m	m	+	-	+	-	-	-	-	-	-	+	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	+	-	-	-	0	0	0	0	0	0	-
ɱ	F	+	-	+	-	-	-	-	-	-	+	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	+	-	-	-	0	0	0	0	0	0	-
n	n	+	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	+	-	-	-	0	0	0	0	0	0	-
ɴ	N\	+	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-	+	+	+	-	-	-	0	0	0	0	0	0	-
ɲ	J	+	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	+	+	-	-	-	0	0	0	0	0	0	-
